排名,角色,票数,item_id,更新时间,图片URL
1,迪迦奥特曼,7063608,25ERA3wloghvzh900,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/3s6KYlq9pB.png
2,梦比优斯奥特曼,1240170,25ERA3wloghvx1600,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/dnkQN04G1r.png
3,雷欧奥特曼,1024828,25ERA3wloghvzrd00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/euQA4BJbh5.png
4,捷德奥特曼,855909,25ERA3wloghvz2100,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/9cO695pXE3.png
5,奈克赛斯奥特曼,773547,25ERA3wloghvl9b00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/X6vPOxSV4c.png
6,泽塔奥特曼,773547,25ERA3wloghvl1000,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/zDKh7BTW4j.png
7,欧布奥特曼,773545,25ERA3wloghvzrz00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/zmoHQzNNsj.png
8,布莱泽奥特曼,773538,25ERA3wloghvz1g00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/lGU366J7zf.png
9,银河奥特曼,773538,25ERA3wloghvl2o00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/EfuQQvFwzC.png
10,戴拿奥特曼,773536,25ERA3wloghvz8m00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/APl15bbPwf.png
11,赛罗奥特曼,773524,25ERA3wloghvzwc00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/zYsA8S9klq.png
12,盖亚奥特曼,773461,25ERA3wloghvzxc00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/RNVVPphu6C.png
13,艾克斯奥特曼,750305,25ERA3wloghvz4w00,2026-07-24T12:31:58.478501+08:00,https://i0.hdslb.com/bfs/activity-plat/static/10498/11147/0d6d0d51ca1096d6cd05788de0bad4ad/6MB3i9Ir7E.png
